Geography,Geographic Area Name,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0500000US25009,"Essex County, Massachusetts",580800,11131
0500000US25011,"Franklin County, Massachusetts",301700,13236
0500000US25013,"Hampden County, Massachusetts",282100,5331
0500000US25015,"Hampshire County, Massachusetts",370600,8795
0500000US25017,"Middlesex County, Massachusetts",690800,8092
0500000US25021,"Norfolk County, Massachusetts",651000,11038
0500000US25023,"Plymouth County, Massachusetts",542500,17323
0500000US25025,"Suffolk County, Massachusetts",669800,13529
0500000US25027,"Worcester County, Massachusetts",393800,6290
0500000US26005,"Allegan County, Michigan",255100,11769
0500000US26017,"Bay County, Michigan",139900,11562
0500000US26021,"Berrien County, Michigan",221700,9191
0500000US26025,"Calhoun County, Michigan",156300,7093
0500000US26037,"Clinton County, Michigan",233900,11558
0500000US26045,"Eaton County, Michigan",198800,9652
0500000US26049,"Genesee County, Michigan",174200,5015
0500000US26055,"Grand Traverse County, Michigan",335900,19459
0500000US26065,"Ingham County, Michigan",186200,8069
0500000US26067,"Ionia County, Michigan",199500,15710
0500000US26075,"Jackson County, Michigan",173000,8565
0500000US26077,"Kalamazoo County, Michigan",236300,8494
0500000US26081,"Kent County, Michigan",281200,5460
0500000US26087,"Lapeer County, Michigan",237900,14558
0500000US26091,"Lenawee County, Michigan",194200,13049
0500000US26093,"Livingston County, Michigan",348800,9029
0500000US26099,"Macomb County, Michigan",240400,4119
0500000US26103,"Marquette County, Michigan",205700,14508
0500000US26111,"Midland County, Michigan",186800,9438
0500000US26115,"Monroe County, Michigan",212800,10119
0500000US26117,"Montcalm County, Michigan",183400,14241
0500000US26121,"Muskegon County, Michigan",182400,8233
0500000US26125,"Oakland County, Michigan",330800,5279
0500000US26139,"Ottawa County, Michigan",313800,10193
0500000US26145,"Saginaw County, Michigan",146600,12003
0500000US26147,"St. Clair County, Michigan",219400,7734
0500000US26155,"Shiawassee County, Michigan",165400,8404
0500000US26159,"Van Buren County, Michigan",191300,18002
0500000US26161,"Washtenaw County, Michigan",364600,11518
0500000US26163,"Wayne County, Michigan",173500,2402
0500000US27003,"Anoka County, Minnesota",336200,5999
0500000US27013,"Blue Earth County, Minnesota",255700,15384
0500000US27019,"Carver County, Minnesota",410400,18505
0500000US27027,"Clay County, Minnesota",249300,17573
0500000US27035,"Crow Wing County, Minnesota",303700,16890
0500000US27037,"Dakota County, Minnesota",364900,5335
0500000US27053,"Hennepin County, Minnesota",377100,3641
0500000US27109,"Olmsted County, Minnesota",295600,9422
0500000US27123,"Ramsey County, Minnesota",313900,7222
0500000US27131,"Rice County, Minnesota",312800,19219
0500000US27137,"St. Louis County, Minnesota",214900,7633
0500000US27139,"Scott County, Minnesota",395200,12841
0500000US27141,"Sherburne County, Minnesota",339900,9953
0500000US27145,"Stearns County, Minnesota",266200,9890
0500000US27163,"Washington County, Minnesota",406700,13025
0500000US27171,"Wright County, Minnesota",339500,9161
0500000US28033,"DeSoto County, Mississippi",258900,11821
0500000US28035,"Forrest County, Mississippi",187700,26978
0500000US28047,"Harrison County, Mississippi",206400,9160
0500000US28049,"Hinds County, Mississippi",145100,14802
0500000US28059,"Jackson County, Mississippi",173800,12064
0500000US28067,"Jones County, Mississippi",149500,21737
0500000US28073,"Lamar County, Mississippi",210100,20598
0500000US28075,"Lauderdale County, Mississippi",122600,18434
0500000US28081,"Lee County, Mississippi",189700,9655
0500000US28089,"Madison County, Mississippi",280300,19382
0500000US28121,"Rankin County, Mississippi",221900,11962
0500000US29019,"Boone County, Missouri",267400,13254
0500000US29021,"Buchanan County, Missouri",159400,7325
0500000US29031,"Cape Girardeau County, Missouri",205300,18301
0500000US29037,"Cass County, Missouri",285800,10529
0500000US29043,"Christian County, Missouri",250300,14833
0500000US29047,"Clay County, Missouri",264100,8654
0500000US29051,"Cole County, Missouri",212500,12014
0500000US29071,"Franklin County, Missouri",220700,16510
0500000US29077,"Greene County, Missouri",219500,8443
0500000US29095,"Jackson County, Missouri",221800,5774
0500000US29097,"Jasper County, Missouri",159600,10036
0500000US29099,"Jefferson County, Missouri",219800,13238
0500000US29165,"Platte County, Missouri",326400,20948
0500000US29183,"St. Charles County, Missouri",300800,7758
0500000US29187,"St. Francois County, Missouri",161400,14480
0500000US29189,"St. Louis County, Missouri",264300,5355
0500000US29510,"St. Louis city, Missouri",190400,11519
0500000US30013,"Cascade County, Montana",247100,15973
0500000US30029,"Flathead County, Montana",538500,44789
0500000US30031,"Gallatin County, Montana",628200,35418
0500000US30049,"Lewis and Clark County, Montana",383000,19023
0500000US30063,"Missoula County, Montana",473700,22177
0500000US30111,"Yellowstone County, Montana",330800,12676
0500000US31055,"Douglas County, Nebraska",262000,6493
0500000US31109,"Lancaster County, Nebraska",266100,7517
0500000US31153,"Sarpy County, Nebraska",295600,8369
0500000US32003,"Clark County, Nevada",432300,4194
0500000US32031,"Washoe County, Nevada",530400,13732
0500000US33005,"Cheshire County, New Hampshire",269700,14235
0500000US33009,"Grafton County, New Hampshire",338800,18595
